слово,дискретна тональність,усереднена тональність,дисперсія
байдужий,-1,"-0,6666666667","0,4714045208"
байдужість,-1,"-1,3333333333","0,4714045208"
бакалавр,0,0,0
бакинський,0,"0,3333333333","0,4714045208"
бактерія,0,"-0,4444444444","0,6849348892"
балаканина,-1,-1,"0,6666666667"
балакучий,-1,"-0,6666666667","0,4714045208"
балалайка,-1,-1,0
балістичний,0,0,0
балканський,0,0,0
балотуватися,0,0,0
балтійський,0,0,0
балувати,1,"0,6666666667","0,4714045208"
бамбуковий,0,0,0
банальний,0,"-0,3333333333","0,4714045208"
банальність,-1,-1,0
банально,-1,"-0,6666666667","0,4714045208"
банда,-1,"-1,1666666667","0,6871842709"
бандит,-1,"-1,2","0,4"
бандитський,-1,-1,0
бандформування,-1,"-1,3333333333","0,4714045208"
банківський,0,0,0
банковий,0,0,0
банкрут,-1,-1,0
банкрутство,-1,"-1,25","0,4330127019"
барак,0,0,0
барвистий,0,"0,3333333333","0,4714045208"
барвистий,1,1,0
барикада,0,0,0
басейн,0,0,0
батальйон,0,0,0
батарея,0,0,0
батьківський,0,0,0
бачення,0,"0,1111111111","0,7370277312"
бачитися,0,0,0
башкирський,0,0,0
безальтернативний,-1,"-0,8888888889","0,5665577237"
безбожний,-1,-1,0
безболісний,0,0,0
безвихідний,-1,"-0,8","0,4"
безвихідний,-1,"-1,3333333333","0,4714045208"
безвихідь,-1,"-0,75","0,8291561976"
безвідмовний,0,"-0,3333333333","1,6996731712"
безвідповідальний,-1,"-1,3333333333","0,4714045208"
безвісний,0,"-0,3333333333","0,4714045208"
безвольний,-1,"-1,2222222222","0,4157397096"
безглуздий,-1,-1,0
безглуздість,-1,"-0,6666666667","0,4714045208"
безглуздо,-1,-1,0
безгрішний,1,1,0
безгрошовий,-1,-1,"0,8164965809"
бездарний,-1,-1,0
бездарність,-2,"-1,6666666667","0,4714045208"
бездіяльність,-1,-1,0
бездіяти,-1,"-0,6666666667","0,4714045208"
бездоганний,1,1,0
бездоганний,1,"1,1111111111","0,8748897638"
бездоганно,2,"1,6666666667","0,4714045208"
бездумний,-1,-1,0
бездумно,-1,-1,0
безжалісний,-1,"-1,4444444444","0,6849348892"
безжально,-2,"-1,6666666667","0,4714045208"
безжиттєвий,0,"-0,5","0,5"
безжурний,2,"1,6666666667","0,4714045208"
беззавітний,1,1,"0,8164965809"
беззаконний,-1,"-1,1111111111","0,3142696805"
беззаконня,-1,-1,0
беззаперечний,0,"0,25","0,6614378278"
беззахисний,-1,"-0,8","0,4"
беззбройний,0,0,0
беззвучний,0,"0,2","0,4"
беззмістовний,-1,"-0,6666666667","0,4714045208"
беззубий,-1,-1,0
безідейний,-1,"-1,1666666667","0,3726779962"
безініціативний,-1,-1,0
безкарний,-2,"-1,6666666667","0,4714045208"
безкарність,-1,"-0,8888888889","0,5665577237"
безкомпромісний,-1,"-0,6666666667","0,9428090416"
безконтрольний,-1,"-1,25","0,4330127019"
безкорисливий,1,"1,25","0,8291561976"
безкоштовний,0,0,0
безкровний,0,"-0,1666666667","0,8975274679"
безлад,-1,"-1,3333333333","0,4714045208"
безладний,-1,"-1,3333333333","0,4714045208"
безладний,-1,-1,"0,4714045208"
безликий,0,"-0,3333333333","0,4714045208"
безлімітний,0,"0,5","0,5"
безлюдний,0,"-0,4","0,4898979486"
безлюдний,0,"-0,1666666667","0,3726779962"
безмежний,0,"0,5",1
безмежний,0,"-0,25","0,8291561976"
безмежний,1,"0,6666666667","0,6666666667"
безмірний,0,"-0,3333333333","0,4714045208"
безнадійний,-1,-1,"0,8164965809"
безнадія,-1,"-1,3333333333","0,4714045208"
безневинний,0,"0,2222222222","0,7856742013"
безодня,-1,"-0,8888888889","0,7370277312"
безоплатний,0,0,"0,8164965809"
безпека,1,1,0
безперебійний,1,"0,6666666667","0,4714045208"
безперервний,-1,-1,"0,8164965809"
безперервний,0,"-0,4","0,4898979486"
безперервний,0,"-0,3333333333","0,4714045208"
безперечний,1,"0,6666666667","0,4714045208"
безперспективний,-1,-1,"0,632455532"
безпечний,1,"0,8888888889","0,5665577237"
безпечно,2,"1,6666666667","0,4714045208"
безпідставний,-1,-1,"0,8164965809"
безпілотний,0,0,0
безповоротний,-1,"-0,6666666667","0,9428090416"
безпокійний,-1,"-0,8888888889","0,5665577237"
безпомилковий,0,"0,3333333333","0,9428090416"
безпомилково,0,"0,3333333333","0,9428090416"
безпорадний,-2,"-1,6666666667","0,4714045208"
безпосередній,0,0,0
безправний,-1,-1,"0,8164965809"
безпрецедентний,0,"0,5","1,1180339887"
безпринципний,0,"-0,3333333333","1,2472191289"
безпритульний,-1,"-0,6666666667","0,4714045208"
безпрограшний,1,1,0
безпросвітний,-2,-2,0
безпутний,-1,"-1,25","0,4330127019"
безрадісний,-1,"-1,3333333333","0,4714045208"
безрезультатний,-1,-1,0
безробіття,-1,"-1,3333333333","0,4714045208"
безрозсудний,-1,-1,0
безсердечний,-1,"-1,3333333333","0,4714045208"
безсмачний,-1,"-1,3333333333","0,4714045208"
безсмертний,2,2,0
безсовісний,-1,"-1,3333333333","0,4714045208"
безсоромний,-1,"-0,6666666667","0,4714045208"
безстрашний,1,1,0
безсумнівний,1,"0,6666666667","0,4714045208"
безтактовний,-1,-1,0
безталанний,-1,-1,0
безтолковий,-2,"-1,6666666667","0,4714045208"
безтурботний,0,0,"0,8164965809"
безтурботний,0,"-0,4444444444","0,9558139186"
безтурботний,1,"0,6666666667","0,8164965809"
безумовний,0,0,0
безумство,-1,-1,0
безуспішний,-1,-1,0
безхитрісний,0,0,"0,8164965809"
безхребетний,-1,-1,0
безхребетний,0,0,0
безцеремонний,-1,"-1,3333333333","0,4714045208"
безцільний,-1,"-1,3333333333","0,4714045208"
безцінний,2,"1,6666666667","0,4714045208"
безчесний,-1,-1,"0,8164965809"
безчуттєвий,-1,"-1,3333333333","0,4714045208"
безшумний,0,"0,3333333333","0,4714045208"
бентежити,-1,"-0,6666666667","0,4714045208"
берлінський,0,0,0
бидло,-2,"-1,6666666667","0,7453559925"
билина,0,0,0
битва,-1,"-0,8888888889","0,7370277312"
бити,-1,"-0,6666666667","0,4714045208"
битися,-1,"-0,6666666667","0,9428090416"
битися,0,"-0,1111111111","0,99380799"
біблійний,0,0,0
бібліотека,0,"0,3333333333","0,4714045208"
бігти,0,"-0,5","0,5"
біда,-1,"-0,6666666667","0,4714045208"
бідненький,0,"-0,3333333333","0,9428090416"
бідний,-1,"-1,2","0,4"
бідність,-1,-1,"0,8164965809"
бідно,-1,-1,0
біженець,-1,"-0,6666666667","0,9428090416"
бізнес,0,0,0
бізнесмен,0,0,0
бій,0,"-0,3333333333","0,4714045208"
бійка,-1,"-1,3333333333","0,9428090416"
бійня,-2,"-1,8888888889","0,3142696805"
білгородський,0,0,0
білогвардієць,0,"-0,3333333333","0,4714045208"
білогвардійський,0,0,0
білоруський,0,0,0
більший,0,"0,3333333333","0,4714045208"
більшовизм,0,0,0
більшовик,0,0,0
біографічний,0,0,0
біолог,0,0,0
біологія,0,0,0
бісексуал,-1,"-0,6666666667","0,6666666667"
благати,0,"-0,4444444444","0,6849348892"
благий,1,1,0
благовихований,1,1,0
благоговійний,1,"1,25","0,4330127019"
благодать,1,1,"0,8164965809"
благодійний,1,1,0
благодійник,1,1,0
благодійність,1,1,0
благозвучний,1,1,0
благополучний,2,"1,6666666667","0,4714045208"
благополучно,1,"1,3333333333","0,4714045208"
благородний,1,"1,3333333333","0,4714045208"
благорозумний,1,1,0
благословляти,1,"1,3333333333","0,4714045208"
благосний,1,"1,25","0,4330127019"
благотворний,2,"1,6666666667","0,4714045208"
благоустрій,1,"0,6666666667","0,4714045208"
блаженний,1,"1,3333333333","0,4714045208"
блаженство,1,"1,3333333333","0,4714045208"
блакитний,0,0,0
блакитний,1,"1,3333333333","0,4714045208"
блатний,-2,"-1,6666666667","0,4714045208"
ближній,1,"0,6666666667","0,4714045208"
близький,1,"0,6666666667","0,4714045208"
близькосхідний,0,0,0
блиск,2,"1,5","0,5"
блискавичний,0,"0,3333333333","1,2472191289"
блискучий,2,"1,5555555556","0,496903995"
блищати,0,"-0,3333333333","0,9428090416"
блищати,1,1,"0,8164965809"
бліднути,-1,"-0,8333333333","0,3726779962"
блокада,-1,-1,"0,8164965809"
блокадний,-1,-1,"0,8164965809"
блокпост,0,0,0
блокування,0,"-0,5","0,5"
блокування,0,"-0,3333333333","0,4714045208"
блокувати,0,"-0,4444444444","0,9558139186"
блокуватися,-1,"-0,75","0,8291561976"
блювати,-1,-1,"0,8164965809"
блювотиння,-2,-2,0
блядство,-2,-2,0
бляклий,-1,"-0,6666666667","0,4714045208"
бовтатися,0,"-0,5","0,5"
богатирський,1,"0,6666666667","0,4714045208"
богобоязливий,-1,"-0,6666666667","0,9428090416"
боговгодно,1,"1,3333333333","0,4714045208"
богомерзенний,-2,-2,0
богослужбовий,0,0,0
боєголовка,0,"-0,4","0,4898979486"
боєприпас,0,"-0,4444444444","0,496903995"
божевілля,-1,-1,0
божественний,1,1,"0,4714045208"
божеський,1,"0,6666666667","0,4714045208"
божий,0,0,0
бойової,0,0,0
болгарська,0,"0,25","0,4330127019"
болівійський,0,0,0
болісний,-2,"-1,6666666667","0,4714045208"
болісно,-1,"-1,3333333333","0,4714045208"
болотний,0,0,0
бомба,-1,"-1,3333333333","0,4714045208"
бомбардувальник,-1,"-0,7142857143","0,8806305719"
бомбардування,-1,-1125,"0,9270248109"
бомбити,-1,"-1,3333333333","0,4714045208"
бомбування,-1,"-0,6666666667","0,4714045208"
бонус,0,0,"0,8164965809"
борг,-1,"-0,6666666667","0,4714045208"
борговий,-1,"-0,75","0,8291561976"
борець,1,1,0
боротися,0,"-0,3333333333","1,2472191289"
боротьба,0,0,"0,632455532"
боснійський,0,0,0
бостонський,0,0,0
боягуз,-2,"-1,6666666667","0,4714045208"
боягузливий,-2,"-1,5","0,5"
боягузтво,-1,-1,0
боязкуватий,-1,"-1,3333333333","0,4714045208"
боязнь,-1,-1,"0,7071067812"
бразильський,0,0,0
бракувати,-1,"-0,7777777778","0,4157397096"
братовбивчий,-1,"-1,3333333333","0,4714045208"
брежнєвський,0,0,0
брестський,0,"0,3333333333","0,6666666667"
брехати,-2,"-1,6666666667","0,4714045208"
брехати,-1,-1,0
брехливий,-2,-2,0
брехня,-1,"-1,2","0,4"
бригада,0,0,0
бризки,0,0,0
британський,0,0,0
брифінг,0,0,0
бродяга,-1,-1,0
бронебійний,0,0,0
бронетехніка,0,0,0
бруд,-1,"-1,4444444444","0,496903995"
брудний,-2,-2,0
бруднити,-1,"-1,3333333333","0,9428090416"
брутальний,0,"0,3333333333","0,9428090416"
брянський,0,0,0
бувалий,1,"0,8571428571","0,3499271061"
буддизм,0,"0,2222222222","0,6285393611"
буденний,0,0,0
будівельний,0,0,0
будівля,0,0,0
будівництво,0,0,0
будуватися,0,0,0
буйний,-1,"-0,6","1,0198039027"
буквальний,0,0,0
бульвар,0,0,0
бульварний,0,0,0
бульдозер,0,"-0,1666666667","0,3726779962"
бунтівник,-1,-1,"0,8164965809"
бунтувати,-1,"-1,3333333333","0,4714045208"
бур'ян,0,"-0,3333333333","0,4714045208"
буревій,0,0,0
буржуазія,-1,"-0,75","0,4330127019"
буржуазний,0,"-0,3333333333","0,4714045208"
буржуй,-1,"-1,25","0,8291561976"
буркотливий,-1,"-1,3333333333","0,4714045208"
бурштиновий,0,"0,3333333333","0,4714045208"
бутність,0,0,0
буття,0,0,0
бухати,-2,"-1,6666666667","0,4714045208"
бухгалтерський,0,0,0
бюлетень,0,0,0
бюргер,0,0,0
бюро,0,0,0
бюрократ,-1,-1,"0,8164965809"
бюрократичний,0,"-0,3333333333","0,4714045208"
бюрократія,-1,"-0,6666666667","0,9428090416"
в'єтнамський,0,0,0
в'їзд,0,0,0
в'язень,-1,"-0,6666666667","0,4714045208"
в'язниця,-1,"-0,8","0,7483314774"
в'ялий,-1,"-1,25","0,8291561976"
в`ятський,0,0,0
вага,0,"-0,3333333333","0,4714045208"
важити,0,0,0
важкий,-1,"-0,6666666667","0,4714045208"
важкий,-1,"-0,7777777778","0,4157397096"
важкий,0,"-0,25","0,8291561976"
важковиліковний,-2,"-1,6666666667","0,4714045208"
важкодоступний,0,"-0,4","0,4898979486"
важкувато,-1,-1,"0,8164965809"
важкувато,-1,-1,0
важливий,0,0,0
важливість,0,"0,5","0,5"
важливо,0,0,0
вакантний,0,"0,3333333333","0,6666666667"
вакцинація,0,0,0
валитися,-1,"-0,6","1,0198039027"
валюта,0,0,0
валютний,0,"-0,3333333333","0,4714045208"
вантажиться,0,"0,3333333333","0,4714045208"
вантажівка,0,0,0
варварський,-1,-1,"0,4714045208"
варіант,0,0,0
варіюватися,0,0,0
вартість,0,0,0
варшавський,0,0,0
ватиканський,0,0,0
ваучер,0,0,0
вахта,0,0,0
ваххабіт,-1,"-0,6666666667","0,4714045208"
вашингтонський,0,0,0
вбивати,-2,"-1,6666666667","0,4714045208"
вбивство,-1,"-1,3333333333","0,4714045208"
вбивця,-2,"-1,6","0,4898979486"
вбивчий,-1,"-1,4444444444","0,6849348892"
вважати,-1,-1,0
введення,0,0,0
ввічливий,1,1,"0,8164965809"
ввічливий,1,"1,1666666667","0,3726779962"
ввічливість,1,"1,2222222222","0,6285393611"
вводитися,0,"-0,3333333333","0,4714045208"
вгадувати,1,"0,6666666667","0,4714045208"
вдаватися,0,"-0,3333333333","0,4714045208"
вдаватися,0,"0,3333333333","0,4714045208"
вдалий,1,"1,2222222222","0,4157397096"
вдало,1,"1,3333333333","0,4714045208"
вдача,0,0,0
вдосконалення,1,"0,6666666667","0,7453559925"
вдосталь,0,0,"0,8164965809"
вдумливий,0,0,"0,8164965809"
вдячний,1,1,0
везучий,1,"1,3333333333","0,4714045208"
велелюбний,1,1,"0,8164965809"
великий,0,"0,2","0,4"
великодержавний,0,"0,3333333333","0,4714045208"
великомасштабний,2,"1,6666666667","0,4714045208"
великорос,-1,-1,"0,8164965809"
великоруський,1,"0,6666666667","0,6666666667"
великосвітський,-1,"-0,5555555556","0,6849348892"
величезний,0,"-0,3333333333","0,4714045208"
величезний,1,"0,6666666667","0,4714045208"
величина,0,0,0
величний,2,"1,6666666667","0,4714045208"
вельмишановний,1,1,"0,8164965809"
вельмишановний,1,1,0
венеричний,-1,-1,"0,8164965809"
венесуелець,0,0,0
венесуельський,0,0,0
вербувати,0,"-0,4","0,4898979486"
вердикт,0,0,0
вересень,0,0,0
верескливий,-1,-1,0
верещати,-1,-1,0
вермахт,0,0,0
вертикаль,0,"-0,1666666667","0,8975274679"
верхівка,0,"-0,3333333333","0,7453559925"
верховний,1,"0,6666666667","0,4714045208"
вершина,0,"0,2222222222","0,4157397096"
веселий,0,"0,3333333333","0,9428090416"
веселитися,1,"0,6","1,0198039027"
весьєгонський,0,0,0
ветеран,0,0,0
ветхий,-1,"-0,75","0,4330127019"
вечірка,1,"0,6666666667","0,4714045208"
вживання,0,0,0
вживати,0,0,0
взаємний,0,0,"1,0690449676"
взаємність,0,0,"0,8164965809"
взаємовигідний,1,"1,1111111111","0,3142696805"
взаємовідношення,0,0,0
взаємодія,0,"0,3333333333","0,4714045208"
взаємодіяти,0,0,0
взаємопов'язаний,0,0,0
взвод,0,0,0
вибачатися,0,"0,3333333333","0,9428090416"
вибачення,1,"0,6666666667","0,6666666667"
вибірка,0,0,0
виборець,0,0,0
виборний,0,0,0
виборчий,0,0,0
вибух,-1,"-0,8","0,4"
вибухати,-1,-1,"0,8164965809"
вибухівка,0,"-0,3333333333","0,4714045208"
вибухонебезпечний,0,"-0,4","1,3564659966"
виверт,-1,"-1,2222222222","0,6285393611"
вивчати,0,0,0
вивчення,1,"0,7777777778","0,7856742013"
вигаданий,0,0,0
вигадливий,-1,"-1,2","0,7483314774"
вигадливий,1,"0,6666666667","0,4714045208"
вигадувати,-1,"-0,6666666667","0,6666666667"
вигідний,1,"0,6666666667","0,4714045208"
вигідно,1,1,0
виглядати,0,0,0
вигнанець,-1,-1,0
вигнання,-2,"-1,6666666667","0,4714045208"
вигода,1,"0,6666666667","0,4714045208"
виготовлятися,0,0,0
вигравати,0,"0,3333333333","0,8164965809"
виграш,1,"1,3333333333","0,4714045208"
вигукувати,0,"0,3333333333","0,4714045208"
видаватися,0,0,0
видавництво,0,0,0
видалення,0,"-0,3333333333","0,4714045208"
видаляти,-1,"-0,6666666667","0,4714045208"
видання,0,"-0,3333333333","0,4714045208"
видача,0,0,0
видворяти,-1,-1,"0,8164965809"
видимість,0,0,0
виділятися,0,"0,1666666667","0,3726779962"
видобуватися,0,0,0
видовище,0,0,"0,8164965809"
видовищний,1,"0,6666666667","0,4714045208"
виживання,0,"0,3333333333","0,9428090416"
визвольний,1,1,0
визнаватися,0,"0,2","0,4"
визнання,0,0,0
визначати,0,0,0
визначатися,0,"0,2","0,4"
виїзд,0,0,0
викид,0,0,0
викидати,-1,"-0,6666666667","0,4714045208"
викидати,0,"-0,3333333333","0,4714045208"
викладати,0,0,0
викладацький,0,"0,3333333333","0,4714045208"
викладач,0,0,0
виклик,0,0,0
виключати,0,"-0,2222222222","0,4157397096"
виключення,0,"0,3333333333","0,4714045208"
виконавчий,0,0,0
виконання,0,"0,5","0,8660254038"
виконання,0,"0,3333333333","0,4714045208"
виконком,0,0,0
виконувати,0,"0,3333333333","0,4714045208"
виконувати,0,0,0
викопувати,0,0,0
використання,0,0,0
використовувати,0,0,0
використовуватися,0,0,0
викрадати,-1,"-1,3333333333","0,9428090416"
викрадач,-1,"-1,3333333333","0,6666666667"
викрадення,-1,"-1,3333333333","0,4714045208"
викривальний,0,"-0,25","0,8291561976"
викривати,0,"-0,3333333333","0,4714045208"
викривач,-1,-1,"0,8164965809"
викрикувати,0,"-0,3333333333","0,6666666667"
викриття,0,0,"0,8164965809"
викуп,0,"-0,3333333333","0,4714045208"
викуповувати,0,0,0
викурювати,-1,"-1,3333333333","0,4714045208"
вилазити,0,"-0,3333333333","0,4714045208"
виливатися,0,0,0
вилучення,-1,"-0,6666666667","0,4714045208"
виляти,-1,"-0,6","0,4898979486"
вимагати,-1,"-0,8","0,4"
вимирання,-1,-1,0
вимирати,-2,"-1,6666666667","0,4714045208"
вимір,0,"0,3333333333","0,4714045208"
вимовляти,0,0,0
вимога,0,0,0
вимогливий,0,0,"0,9428090416"
винагорода,0,"0,3333333333","0,4714045208"
винахідливий,0,"0,3333333333","0,9428090416"
винаходити,0,0,0
виникнення,0,0,0
винищувати,-1,"-1,3333333333","0,4714045208"
винищувач,0,0,0
винний,-1,-1,0
винність,-1,"-0,6666666667","0,4714045208"
виношувати,0,0,0
винуватий,-1,"-1,3333333333","0,4714045208"
винятковий,0,"0,3333333333","0,4714045208"
винятковість,0,0,"0,8164965809"
випадати,0,"-0,3333333333","0,4714045208"
випадковий,0,"0,2","0,4"
випереджати,1,"0,6666666667","0,4714045208"
випивати,0,"-0,3333333333","0,4714045208"
виписка,0,0,0
виписувати,0,"0,1666666667","0,3726779962"
виплачувати,0,0,0
виплачуватися,0,0,0
виправдання,-1,-1,0
виправдовувати,0,"-0,3333333333","0,4714045208"
виправдувальний,1,"0,6666666667","0,9428090416"
виправлення,0,"-0,3333333333","0,4714045208"
виправляти,0,0,0
виправний,0,"0,3333333333","0,4714045208"
випробування,0,"-0,3333333333","0,4714045208"
випромінювання,0,0,0
випуск,0,0,0
випускатися,0,0,0
випускниця,0,0,0
виражати,0,"-0,1111111111","0,3142696805"
виражатися,0,"-0,3333333333","0,4714045208"
вираз,0,0,0
виразний,1,"0,6666666667","0,4714045208"
виразний,1,1,"0,5773502692"
виразно,0,"0,3333333333","0,4714045208"
вираховувати,0,0,0
виріб,0,0,0
вирішувати,0,"0,1666666667","0,3726779962"
вирішуватися,0,"-0,1666666667","1,0671873729"
вирішуватися,0,0,0
виробляти,0,0,0
виробляти,0,"0,1111111111","0,5665577237"
